Word,Defination
concerted,Performed through a concert of effort done by agreement or in combination
concession,A gift freely given or act freely made as a token of respect or to curry favor
conciliatory,Willing to conciliate or to make concessions
concise,brief yet including all important information
conclave,The set of apartments within which the cardinals of the Roman Catholic Church are continuously secluded while engaged in choosing a pope
conclusive,Providing an end to something decisive
concoct,To prepare something by mixing various ingredients especially to prepare food for cooking
concomitant,An invariant homogeneous polynomial in the coefficients of a form a covariant variable and a contravariant variable
concord,An agreement between the parties to a fine of land in reference to the manner in which it should pass being an acknowledgment that the land in question belonged to the complainant
concordat,A formal agreement between two parties especially between a church and a state specifically an agreement between the Pope and a government
concur,To meet in the same point to combine or conjoin to contribute or help towards a common object or effect
concurrent,One of the supernumerary days of the year over fifty-two complete weeks so called because they concur with the solar cycle the course of which they follow
condescend,To treat  as though inferior to be patronizing toward  to talk down to
condign,Fitting appropriate deserved especially denoting punishment
condiment,Something used to enhance the flavor of food for example salt or pepper
condole,To express sympathetic sorrow to lament in sympathy
condone,To forgive excuse or overlook
conducive,Tending to contribute to encourage or bring about some result
conduit,An investment vehicle that issues short-term commercial paper to finance long-term off-balance sheet bank assets
confidant,A person in whom one can confide or share one's secrets: a friend
confidante,A type of settee having a seat at each end at right angles to the main seats
confide,To take  into one's confidence to speak in secret with
confidence,Information held in secret a piece of information shared but to thence be kept in secret
confidential,Inclined to share confidences  making people inclined to share confidences involving the sharing of confidences
confine,To restrict  to a particular scope or area to keep in or within certain bounds
confiscate,To use one's authority to lay claim to and separate a possession from its holder
conflagration,A large fire extending to many objects or over a large space a general burning
confluence,A property describing which terms can be rewritten with other equivalent terms
conformist,Someone who tries to conform to the mainstream
conformity,The state of being conforming of complying with a set of rules with a norm or standard
confound,To combine in a confused fashion to mingle so as to make the parts indistinguishable
congeal,To change from a liquid to solid state perhaps due to cold called to freeze in nontechnical usage
congenial,Having the same or very similar nature personality tastes habits or interests
congenital,Present since birth
conglomerate,A corporation formed by the combination of several smaller corporations whose activities are unrelated to the corporation's primary activity
conglomeration,An instance of conglomerating a coming together of separate parts
congruence,More generally: any equivalence relation defined on an algebraic structure which is preserved by operations defined by the structure
congruent,Having a difference divisible by a modulus
conifer,A plant belonging to the order Coniferales a cone-bearing seed plant with vascular tissue usually a tree
conjecture,A statement likely to be true based on available evidence but which has not been formally proven
conjugal,Of or relating to marriage or the relationship of spouses connubial
conjure,To make an urgent request to to appeal to or beseech
connivance,The process of conniving or conspiring
connoisseur,A specialist in a given field whose opinion is highly valued especially in one of the fine arts or in matters of taste
connotation,A meaning of a word or phrase that is suggested or implied as opposed to a denotation or literal meaning
connubial,Of or relating to the state of being married
consanguine,"Related by birth or ""by blood"" i"
consanguineous,Related by birth descended from the same parent or ancestor
consanguinity,A consanguineous or family relationship through parentage or descent
conscientious,Influenced by conscience governed by a strict regard to the dictates of conscience or by the known or supposed rules of right and wrong
conscript,One who is compulsorily enrolled often into a military service a draftee
consecrate,To declare something holy or make it holy by some procedure
consensus,General agreement among the members of a given group or community each of which exercises some discretion in decision-making and follow-up action
consequential,Having significant consequences of importance
conservatoire,A music academy
conservatory,Having the quality of preserving from loss decay or injury
consign,To transfer to the custody of usually for sale transport or safekeeping
consistency,Freedom from contradiction the state of a system of axioms such that none of the propositions deduced from them are mutually contradictory
console,A stand-alone cabinet designed to stand on the floor especially one integrated with home entertainment equipment such as a TV or stereo system
consolidation,A solidification into a firm dense mass
consonance,The repetition of consonant sounds but not vowels as in assonance
consonant,A sound that results from the passage of air through restrictions of the oral cavity any sound that is not the dominant sound of a syllable the dominant sound generally being a vowel
consort,An informal usually well-publicized sexual companion of a monarch aristocrat celebrity etc
conspiracy,The act of two or more persons called conspirators working secretly to obtain some goal usually understood with negative connotations
conspire,To secretly plot or make plans together often with the intention to bring bad or illegal results
consternation,Amazement or horror that confounds the faculties and incapacitates for reflection terror combined with amazement dismay
constituency,A district represented by one or more elected officials
constituent,A resident of an area represented by an elected official particularly in relation to that official
constitution,The act or process of setting something up or establishing something the composition or structure of such a thing its makeup
constraint,A condition that a solution to an optimization problem must satisfy
construe,To analyze the grammatical structure of a clause or sentence to parse
consummate,Supremely skilled and experienced highly accomplished fully qualified
contagion,The spread of anything likened to a contagious disease
contaminate,To make something dangerous or toxic by introducing impurities or foreign matter
contempt,The state or act of contemning the feeling or attitude of regarding someone or something as inferior base or worthless scorn disdain
contend,To struggle or exert oneself to obtain or retain possession of or to defend
contention,A point maintained in an argument or a line of argument taken in its support the subject matter of discussion of strife a position taken or contended for
contentious,Given to struggling with others out of jealousy or discord
contest,To make a subject of litigation to defend as a suit to dispute or resist as a claim by course of law
context,The surroundings and environment in which an artifact is found and which may provide important clues about the artifact's function and/or cultural meaning
contiguous,Connected touching abutting
continence,Moderation or self-restraint especially in sexual activity abstinence
contingent,An event which may or may not happen that which is unforeseen undetermined or dependent on something future
contortion,A form of acrobatic display which involves the dramatic bending and flexing of the human body
contraband,A black slave during the American Civil War who had escaped to or been captured by Union forces
contravene,To act contrary to an order to fail to conform to a regulation or obligation
contrite,Sincerely penitent or feeling regret or sorrow especially for one’s own actions
contrivance,A means such as an elaborate plan or strategy to accomplish a certain objective
contrive,To invent to make devices to form designs especially by improvisation
contrived,Created in a deliberate rather than natural or spontaneous way
controvert,To be involved or engaged in controversy to argue
contumacious,Contemptuous of authority willfully disobedient rebellious
contusion,A wound such as a bruise in which the skin is not broken often having broken blood vessels and discolouration
conundrum,A difficult question or riddle especially one using a play on words in the answer
convene,To come together as in one body or for a public purpose to meet to assemble
convention,A practice or procedure widely observed in a group especially to facilitate social interaction a custom
conventional,A conventional gilt-edged security a kind of bond paying the holder a fixed cash payment  every six months until maturity at which point the holder receives the final payment and the return of the principal
converge,To approach each other to get closer and closer
conversant,Familiar or acquainted by use or study well-informed versed
converse,One of a pair of terms that name or describe a relationship from opposite perspectives converse antonym relational antonym
convert,To express  in terms of another to furnish a mathematical formula by which a quantity expressed in the former unit may be given in the latter
convex,arranged such that for any two points in the set a straight line between the two points is contained within the set
conveyance,An instrument transferring title of an object from one person or group of persons to another
conviction,The state of being found or proved guilty
convivial,Having elements of a feast or of entertainment especially when it comes to eating and drinking with accompanying festivity
convoke,To convene to cause to assemble for a meeting
convoluted,Having numerous overlapping coils or folds convolute
convulsion,An intense paroxysmal involuntary muscular contraction
copious,Full of thought information or matter exuberant in words expression or style
coquette,A woman who flirts or plays with men's affections
cordial,A candy  usually made of milk chocolate filled with small fruits  and syrup or fondant
eyrie,Any high and remote but commanding place
eyry,Alternative spelling of eyrie
karat,A unit of fineness or concentration of gold equalling 1/24 part of gold in an alloy
